链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
开放性外生殖器损伤	S31.501	{"dummy_term": ["外生殖器"], "3_disease_term": ["开放性", "损伤"]}
在髋和大腿水平的皮感觉神经损伤	S74.200	{"1_region_term": ["髋", "大腿", "皮"], "dummy_term": ["在", "和", "水平", "的", "感觉神经"], "3_disease_term": ["损伤"]}
单侧腹股沟斜疝伴坏疽	K40.401	{"1_region_term": ["单侧腹股沟"], "dummy_term": ["伴", "坏疽"], "3_disease_term": ["斜疝"]}
髋关节色素沉着绒毛结节性滑膜炎	M12.200x051	{"1_region_term": ["髋关节"], "dummy_term": ["色素", "沉着", "绒毛", "结节性", "滑膜炎"]}
脾淋巴管瘤	D18.100x023	{"1_region_term": ["脾", "淋巴管"], "3_disease_term": ["瘤"]}
胎盘边缘血窦破裂	O46.801	{"1_region_term": ["胎盘"], "dummy_term": ["边缘", "血"], "3_disease_term": ["窦", "破裂"]}
胆汁型急性胰腺炎	K85.100	{"dummy_term": ["胆汁", "型", "急性", "胰腺炎"]}
分类于他处的病毒性疾病引起的中耳炎	H67.1*	{"dummy_term": ["分类", "于", "他", "处", "的", "病毒性", "疾病", "引起", "的", "中耳炎"]}
脑桥出血	I61.301	{"1_region_term": ["脑"], "dummy_term": ["桥", "出", "血"]}
膀胱功能检查异常	R94.803	{"1_region_term": ["膀胱"], "dummy_term": ["异常"], "2_operation_term": ["功能检查"]}
眉弓裂伤	S01.000x002	{"1_region_term": ["眉弓"], "3_disease_term": ["裂伤"]}
作用于自主神经系统的其他药物的意外中毒及暴露于该类药物	X43.x00	{"dummy_term": ["作用", "于", "自主神经", "系统", "的", "其他", "的", "意外", "中毒", "及", "暴露", "于", "该", "类药物"], "5_others_term": ["药物"]}
继发性无乳	O92.500x002	{"dummy_term": ["继发性", "无", "乳"]}
髋和大腿其他特指的损伤	S79.800	{"1_region_term": ["髋", "大腿"], "dummy_term": ["和", "其他", "特指", "的"], "3_disease_term": ["损伤"]}
胁腹烧伤	T21.000x032	{"dummy_term": ["胁腹", "烧伤"]}
新生儿钠平衡失调	P74.200	{"dummy_term": ["新生儿", "钠", "平衡", "失调"]}
神经性脱发	L65.802	{"1_region_term": ["神经性"], "dummy_term": ["脱发"]}
甲状腺炎性包块	E06.500x004	{"dummy_term": ["甲状腺炎", "性", "包", "块"]}
伤寒性肝炎	A01.001+K77.0*	{"dummy_term": ["伤寒", "性肝炎"]}
黑色小孢子菌病	B36.100x002	{"dummy_term": ["黑色", "孢子", "菌", "病"], "5_others_term": ["小"]}
急性完全性截瘫	G82.200x031	{"dummy_term": ["急性", "截瘫"], "5_others_term": ["完全性"]}
铍肺	J63.201	{"1_region_term": ["肺"], "dummy_term": ["铍"]}
腹壁疝	K43.902	{"1_region_term": ["腹壁"], "3_disease_term": ["疝"]}
心源性哮喘	I50.104	{"dummy_term": ["心源性", "哮喘"]}
下肢骨筋膜室综合征	T79.600x006	{"1_region_term": ["筋膜"], "dummy_term": ["下肢骨", "室", "综合征"]}
颈部原位黑色素瘤	D03.401	{"1_region_term": ["颈部"], "dummy_term": ["原位", "黑色素瘤"]}
妊娠合并丙型肝炎	O98.403	{"dummy_term": ["妊娠", "合", "并", "丙型肝炎"]}
幼年型皮肌炎	M33.000	{"dummy_term": ["幼年", "型", "皮肌炎"]}
肢体动脉硬化性闭塞症	I70.209	{"1_region_term": ["肢体动脉"], "dummy_term": ["硬化性", "闭塞", "症"]}
恶性蝾螈瘤	M95610/3	{"dummy_term": ["恶性", "蝾螈"], "3_disease_term": ["瘤"]}
新生儿其他的低温症	P80.800	{"dummy_term": ["新生儿", "其他", "的", "低温", "症"]}
气胸	J93.900	{"dummy_term": ["气胸"]}
踝部挤压伤	S97.000x001	{"1_region_term": ["踝"], "dummy_term": ["部", "挤压", "伤"]}
髁状突囊肿	K09.203	{"dummy_term": ["髁", "状", "突"], "3_disease_term": ["囊肿"]}
孕30周	O26.900x405	{"dummy_term": ["孕", "30周"]}
截瘫	G82.200	{"dummy_term": ["截瘫"]}
胸腺增生	E32.001	{"1_region_term": ["胸腺"], "dummy_term": ["增生"]}
脉络膜缺血	H31.800x001	{"1_region_term": ["脉络膜"], "dummy_term": ["缺血"]}
皮肤和皮下组织良性脂肪瘤样肿瘤	D17.301	{"1_region_term": ["皮肤和皮下组织"], "dummy_term": ["良性", "脂肪瘤", "样", "肿瘤"]}
陈旧性脉络膜视网膜炎	H30.900x001	{"1_region_term": ["脉络膜"], "dummy_term": ["陈旧性", "视网膜炎"]}
鼻孔良性肿瘤	D14.006	{"dummy_term": ["鼻孔", "良性肿瘤"]}
创伤性胸部异物	S21.900x003	{"1_region_term": ["胸部"], "dummy_term": ["创伤性"], "5_others_term": ["异物"]}
肺动脉瓣狭窄	I37.000	{"1_region_term": ["肺动脉瓣"], "3_disease_term": ["狭窄"]}
胆总管结石伴急性胆管炎	K80.304	{"1_region_term": ["胆总管"], "dummy_term": ["伴", "急性", "胆管炎"], "3_disease_term": ["结石"]}
手术后颅骨缺失	Z90.000x003	{"1_region_term": ["颅骨"], "dummy_term": ["缺失"], "5_others_term": ["手术后"]}
舌前三分之二腹面恶性肿瘤	C02.200x002	{"dummy_term": ["舌前", "三分之二", "腹面", "恶性肿瘤"]}
涉及髂胫带弹响膝	M76.302	{"1_region_term": ["膝"], "dummy_term": ["涉及", "髂", "胫", "带", "弹", "响"]}
硬化性血管瘤	M88321/0	{"dummy_term": ["硬化性", "血管瘤"]}
迷走神经麻痹	G52.203	{"1_region_term": ["迷走神经"], "dummy_term": ["麻痹"]}
妊娠合并结缔组织疾病	O99.805	{"dummy_term": ["妊娠", "合", "并", "结缔组织", "疾病"]}
牙周脓肿	K05.201	{"dummy_term": ["牙周脓肿"]}
系统性结缔组织疾患引起的多神经病	G63.5*	{"dummy_term": ["系统性", "结缔组织", "疾患", "引起", "的", "多", "神经病"]}
慢性缺血性心脏病	I25.900	{"dummy_term": ["慢性", "缺血性", "心脏病"]}
单卵双胎活产	Z37.201	{"dummy_term": ["卵", "双胎", "活产"], "5_others_term": ["单"]}
结节性痤疮	L70.002	{"dummy_term": ["结节性", "痤疮"]}
肩袖损伤后遗症	T92.500x016	{"1_region_term": ["肩袖"], "dummy_term": ["后遗症"], "3_disease_term": ["损伤"]}
脑脓肿	G06.001	{"1_region_term": ["脑"], "3_disease_term": ["脓肿"]}
泪小管裂伤	S05.810	{"1_region_term": ["泪小管"], "3_disease_term": ["裂伤"]}
消瘦性夸希奥科病	E42.x00	{"dummy_term": ["消瘦", "性", "夸", "希", "奥", "科", "病"]}
开放性前臂特指部位骨折	S52.810	{"1_region_term": ["前臂"], "dummy_term": ["特指", "部位"], "3_disease_term": ["开放性", "骨折"]}
播散性孢子丝菌病	B42.700	{"dummy_term": ["播散", "性", "孢子", "丝", "菌", "病"]}
髂外动脉栓塞	I74.500x013	{"1_region_term": ["髂外动脉"], "dummy_term": ["栓塞"]}
腕部指内在肌腱损伤	S66.500x006	{"1_region_term": ["指", "肌腱"], "dummy_term": ["腕部", "内在"], "3_disease_term": ["损伤"]}
慢性尿道炎	N34.205	{"dummy_term": ["慢性", "尿道炎"]}
手骨折	S62.801	{"dummy_term": ["手骨", "折"]}
淋巴瘤结外侵及	C85.900x039	{"dummy_term": ["淋巴瘤", "结", "外侵", "及"]}
痛可宁中毒	T39.801	{"dummy_term": ["痛", "可", "宁", "中毒"]}
β型地中海贫血	D56.100	{"dummy_term": ["β", "型", "地中海", "贫血"]}
继发性胸腰段脊柱后凸	M40.100x051	{"1_region_term": ["胸", "腰", "脊柱"], "dummy_term": ["继发性", "段"], "3_disease_term": ["后凸"]}
妊娠合并癫痫	O99.306	{"dummy_term": ["妊娠", "合", "并", "癫痫"]}
限制型心肌病其他的	I42.500	{"dummy_term": ["限制型", "心肌病", "其他", "的"]}
泌尿装置的安装和调整	Z46.600	{"dummy_term": ["泌尿", "装置", "的", "和", "调整"], "2_operation_term": ["安装"]}
短暂性中暑疲劳	T67.600	{"dummy_term": ["短暂性", "中暑", "疲劳"]}
发作性睡病	G47.400x002	{"dummy_term": ["发作", "性", "睡", "病"]}
眼睑包括眦皮肤原位癌	D04.100	{"1_region_term": ["眼睑", "眦", "皮肤"], "dummy_term": ["包括", "原位癌"]}
妊娠合并全血细胞减少	O99.002	{"dummy_term": ["妊娠", "合", "并", "全", "血细胞", "减少"]}
胃食管连接继发恶性肿瘤	C78.800x013	{"1_region_term": ["胃", "食管"], "dummy_term": ["连接", "继发", "恶性肿瘤"]}
肠系膜动脉炎	K55.801	{"1_region_term": ["肠系膜动脉"], "dummy_term": ["炎"]}
夜尿	R35.x00x003	{"dummy_term": ["夜", "尿"]}
铅中毒史	Z91.800x001	{"dummy_term": ["铅中毒", "史"]}
足部软组织撕脱伤	S99.800x001	{"1_region_term": ["足部", "软组织"], "dummy_term": ["撕", "脱", "伤"]}
额叶继发恶性肿瘤	C79.303	{"1_region_term": ["额叶"], "dummy_term": ["继发", "恶性肿瘤"]}
皮肤型过敏性紫癜	D69.001	{"1_region_term": ["皮肤"], "dummy_term": ["型", "过敏性", "紫癜"]}
甲状软骨骨折	S12.800x004	{"1_region_term": ["甲状软骨"], "3_disease_term": ["骨折"]}
先天性颜面畸形	Q18.902	{"1_region_term": ["颜面"], "dummy_term": ["先天性"], "3_disease_term": ["畸形"]}
乳齿过早脱落	K00.605	{"dummy_term": ["乳齿", "过早", "脱落"]}
上肢和下肢多处脱位	T03.400x001	{"1_region_term": ["上肢", "下肢"], "dummy_term": ["和", "多处"], "3_disease_term": ["脱位"]}
卵巢门细胞瘤	M86600/0	{"1_region_term": ["卵巢"], "dummy_term": ["门", "细胞"], "3_disease_term": ["瘤"]}
子宫旁继发恶性肿瘤	C79.800x211	{"1_region_term": ["子宫"], "dummy_term": ["旁", "继发", "恶性肿瘤"]}
白血病性关节病	C95.900x003+M36.1*	{"dummy_term": ["白血病", "性", "关节病"]}
混合型结缔组织病肾损害	N28.900x018	{"1_region_term": ["肾"], "dummy_term": ["混合型", "结缔组织", "病", "损害"]}
大脑中动脉出血	I61.901	{"1_region_term": ["大脑中动脉"], "dummy_term": ["出", "血"]}
脊柱内固定物排斥	T84.804	{"1_region_term": ["脊柱"], "dummy_term": ["内", "排斥"], "4_implant_term": ["固定物"]}
高直后位难产	O64.801	{"dummy_term": ["高", "直", "后", "位", "难产"]}
咽后壁恶性肿瘤	C14.003	{"1_region_term": ["咽后壁"], "dummy_term": ["恶性肿瘤"]}
男性生殖器官良性肿瘤	D29.900	{"dummy_term": ["生殖器官", "良性肿瘤"], "5_others_term": ["男性"]}
新生儿钾平衡失调	P74.300	{"dummy_term": ["新生儿", "钾", "平衡", "失调"]}
依赖可启动机器和装置	Z99.900	{"dummy_term": ["依赖", "可", "启动", "机器", "和", "装置"]}
新生儿低凝血酶原血症	P61.601	{"dummy_term": ["新生儿", "低", "凝血酶原", "血症"]}
弥漫性甲状腺肿伴甲状腺功能亢进症Graves病	E05.000x001	{"1_region_term": ["甲状腺"], "dummy_term": ["弥漫性", "甲状腺肿", "伴", "功能", "亢进症", "Graves", "病"]}
睡眠时相后移综合征	F51.200x002	{"dummy_term": ["睡眠", "时", "相", "后移", "综合征"]}
随诊医疗其他特指手术的	Z48.800	{"dummy_term": ["随", "诊", "医疗", "其他", "特指", "的"], "2_operation_term": ["手术"]}
双上肢任何水平后天性缺失	Z89.300	{"1_region_term": ["上肢"], "dummy_term": ["任何", "水平", "后天性", "缺失"], "5_others_term": ["双"]}
童年孤独症	F84.000	{"dummy_term": ["童年", "孤独症"]}
幼白红细胞贫血	D64.803	{"dummy_term": ["幼", "白", "红细胞", "贫血"]}
血管炎	I77.603	{"dummy_term": ["血管炎"]}
异常肠鸣音	R19.100	{"1_region_term": ["肠"], "dummy_term": ["异常", "鸣音"]}
胸腔良性肿瘤	D36.706	{"1_region_term": ["胸腔"], "dummy_term": ["良性肿瘤"]}
惊厥发作	R56.800x002	{"dummy_term": ["惊厥", "发作"]}
陈旧性下壁高侧壁心肌梗死	I25.200x018	{"dummy_term": ["陈旧性", "下", "壁", "高", "侧壁", "心肌梗死"]}
腰椎和骨盆脱位	S33.301	{"1_region_term": ["腰椎", "骨盆"], "dummy_term": ["和"], "3_disease_term": ["脱位"]}
肘溃疡	L98.400x004	{"1_region_term": ["肘"], "dummy_term": ["溃疡"]}
轻型鼠疫	A20.803	{"dummy_term": ["轻型", "鼠疫"]}
肺泡蛋白沉积症	J84.001	{"dummy_term": ["肺泡", "蛋白", "沉积", "症"]}
真菌性上颌窦炎	B49.x09	{"1_region_term": ["上颌窦"], "dummy_term": ["真菌性", "炎"]}
舌瘘管	K14.800x003	{"1_region_term": ["舌", "瘘管"]}
颏下恶性肿瘤	C76.006	{"1_region_term": ["颏下"], "dummy_term": ["恶性肿瘤"]}
眶周围神经良性肿瘤	D31.603	{"1_region_term": ["眶", "周围神经"], "dummy_term": ["良性肿瘤"]}
痣样基底细胞癌综合征Gorlin综合征	Q87.800x901	{"dummy_term": ["痣", "样", "基底", "细胞", "癌", "综合征", "Gorlin", "综合征"]}
颌骨放线菌病	A42.200x002	{"1_region_term": ["颌骨"], "dummy_term": ["放线菌", "病"]}
幼年型骨骺炎	M92.901	{"1_region_term": ["骨骺"], "dummy_term": ["幼年", "型", "炎"]}
手术后胃瘫综合征	K91.830	{"1_region_term": ["胃"], "dummy_term": ["瘫", "综合征"], "5_others_term": ["手术后"]}
与家中交往曲解有关的问题	Z63.800x004	{"dummy_term": ["与", "家中", "交往", "曲解", "有关", "的", "问题"]}
异常的血红蛋白	D58.200x002	{"dummy_term": ["异常", "的", "血红蛋白"]}
慢性肝损害	K76.900x003	{"1_region_term": ["肝"], "dummy_term": ["慢性", "损害"]}
结核性支气管淋巴瘘	A16.300x002	{"1_region_term": ["支气管", "淋巴"], "dummy_term": ["结核性"], "3_disease_term": ["瘘"]}
神经根和神经丛疾患其他的	G54.800	{"1_region_term": ["神经", "神经"], "dummy_term": ["根", "和", "丛", "疾患", "其他", "的"]}
胸部脊髓功能损伤T10T11	S24.100x761	{"1_region_term": ["胸部", "脊髓"], "dummy_term": ["功能", "T10T11"], "3_disease_term": ["损伤"]}
上肢局部肿物	R22.301	{"1_region_term": ["上肢"], "dummy_term": ["局部", "肿物"]}
社交恐怖	F40.100	{"dummy_term": ["社交", "恐怖"]}
颈部开放性伤口累及喉和气管	S11.000	{"1_region_term": ["颈部", "喉", "气管"], "dummy_term": ["累及", "和"], "3_disease_term": ["开放性", "伤口"]}
膝挤压伤	S87.000	{"1_region_term": ["膝"], "dummy_term": ["挤压", "伤"]}
骨髓炎其他的	M86.800	{"dummy_term": ["骨髓炎", "其他", "的"]}
肱骨干多发性骨折	S42.300x002	{"1_region_term": ["肱骨干"], "dummy_term": ["多发性"], "3_disease_term": ["骨折"]}
转移性鳞状细胞癌	M80700/6	{"dummy_term": ["转移性", "鳞", "状", "细胞", "癌"]}
骶髂关节扭伤和劳损	S33.600	{"1_region_term": ["骶髂关节"], "dummy_term": ["扭伤", "和", "劳损"]}
咽旁间隙囊肿	J39.221	{"1_region_term": ["咽旁间隙"], "3_disease_term": ["囊肿"]}
十二指肠损伤	S36.405	{"1_region_term": ["十二指肠"], "3_disease_term": ["损伤"]}
胸部脊髓其他和未特指的损伤	S24.100	{"1_region_term": ["胸部", "脊髓"], "dummy_term": ["其他", "和", "未", "特指", "的"], "3_disease_term": ["损伤"]}
与人工授精有关的并发症	N98.900	{"dummy_term": ["与", "有关", "的", "并发症"], "2_operation_term": ["人工授精"]}
脑脊髓神经根病	G96.900x003	{"1_region_term": ["脑", "脊髓神经根"], "dummy_term": ["病"]}
蹼状趾	Q70.300	{"1_region_term": ["趾"], "dummy_term": ["蹼", "状"]}
医疗性流产并发阴道壁血肿	O04.802	{"1_region_term": ["阴道"], "dummy_term": ["医疗", "性", "流产", "并发", "壁"], "3_disease_term": ["血肿"]}
开放性结肠破裂	S36.511	{"dummy_term": ["结"], "3_disease_term": ["开放性", "肠破裂"]}
开放性肾上腺损伤	S37.813	{"1_region_term": ["肾上腺"], "3_disease_term": ["开放性", "损伤"]}
手术后肝衰竭	K91.825	{"1_region_term": ["肝"], "dummy_term": ["衰竭"], "5_others_term": ["手术后"]}
牙齿颌面磨损	K03.000x002	{"1_region_term": ["牙齿"], "dummy_term": ["颌面", "磨损"]}
与暴露于灾害有关的问题	Z65.500x001	{"dummy_term": ["与", "暴露", "于", "灾害", "有关", "的", "问题"]}
非特异性淋巴结炎其他的	I88.800	{"dummy_term": ["非", "特异性", "淋巴结炎", "其他", "的"]}
陈旧性盆腔器官损伤	T91.502	{"1_region_term": ["盆腔"], "dummy_term": ["陈旧性", "器官"], "3_disease_term": ["损伤"]}
迪亚兹软骨病	M92.603	{"dummy_term": ["迪亚兹", "软骨病"]}
腓侧肌群肌肉损伤	S86.300x002	{"1_region_term": ["肌", "肌肉"], "dummy_term": ["腓", "侧", "群"], "3_disease_term": ["损伤"]}
起源于围生期的某些情况个人史	Z87.600	{"dummy_term": ["起源于", "围", "生", "期", "的", "某些", "情况", "个人", "史"]}
心脏移植失败	T86.200x001	{"1_region_term": ["心脏"], "dummy_term": ["失败"], "2_operation_term": ["移植"]}
大细胞弥漫性非霍奇金淋巴瘤	C83.300	{"dummy_term": ["细胞", "弥漫性", "非", "霍奇金", "淋巴瘤"], "5_others_term": ["大"]}
胎盘畸形	O43.100	{"1_region_term": ["胎盘"], "3_disease_term": ["畸形"]}
梅格斯综合征	D27.x01	{"dummy_term": ["梅", "格斯", "综合征"]}
新生儿抽搐	P90.x00x002	{"dummy_term": ["新生儿", "抽搐"]}
阴道前后壁脱垂	N81.802	{"1_region_term": ["阴道前后壁"], "3_disease_term": ["脱垂"]}
先天性肛门闭锁伴直肠膀胱瘘	Q42.200x201	{"1_region_term": ["肛门", "肠膀胱"], "dummy_term": ["先天性", "伴", "直"], "3_disease_term": ["闭锁", "瘘"]}
髌骨骨折不连接	M84.100x063	{"1_region_term": ["髌骨"], "dummy_term": ["不", "连接"], "3_disease_term": ["骨折"]}
唇部淋巴管瘤	D18.100x027	{"1_region_term": ["淋巴管"], "dummy_term": ["唇部"], "3_disease_term": ["瘤"]}
坏疽性肺炎	J85.002	{"dummy_term": ["坏疽", "性肺炎"]}
喉肿物	J38.708	{"1_region_term": ["喉"], "dummy_term": ["肿物"]}
心脏瓣膜钙化	I38.x03	{"1_region_term": ["心脏"], "dummy_term": ["钙化"], "5_others_term": ["瓣膜"]}
肠系膜上动脉夹层	I72.800x143	{"1_region_term": ["肠系膜上动脉"], "dummy_term": ["夹层"]}
开放性尺骨下端骨折	S52.814	{"1_region_term": ["尺骨"], "dummy_term": ["下端"], "3_disease_term": ["开放性", "骨折"]}
成釉细胞牙肉瘤	M92900/3	{"1_region_term": ["牙"], "dummy_term": ["成釉细胞", "肉瘤"]}
脊髓结核	A17.806+G07*	{"1_region_term": ["脊髓"], "dummy_term": ["结核"]}
手术后皮下气肿	T81.809	{"1_region_term": ["皮下"], "dummy_term": ["气肿"], "5_others_term": ["手术后"]}
胸椎骨折T9T10	S22.000x051	{"1_region_term": ["胸椎"], "dummy_term": ["T9T10"], "3_disease_term": ["骨折"]}
免疫增生性疾病	M97600/3	{"dummy_term": ["免疫", "增生", "性疾病"]}
妊娠合并低体重儿	O36.501	{"dummy_term": ["妊娠", "合", "并", "低", "体重儿"]}
甲状腺功能减退性心脏病	E03.900x004+I43.8*	{"1_region_term": ["甲状腺"], "dummy_term": ["功能", "减退", "性", "心脏病"]}
分类于他处的其他疾病引起的肌无力综合征	G73.3*	{"dummy_term": ["分类", "于", "他", "处", "的", "其他", "疾病", "引起", "的", "肌无力", "综合征"]}
甲状旁腺激素类中毒	T50.900x007	{"1_region_term": ["甲状旁腺"], "dummy_term": ["激素类", "中毒"]}
自发性寰枢椎半脱位	M24.302	{"dummy_term": ["自发性", "寰", "枢", "椎"], "3_disease_term": ["半脱位"]}
股骨头缺血性坏死	M87.800x051	{"1_region_term": ["股骨头"], "dummy_term": ["缺血性", "坏死"]}
妊娠合并子宫颈环扎后	O34.400x011	{"1_region_term": ["子宫颈"], "dummy_term": ["妊娠", "合", "并", "环", "扎", "后"]}
