链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
妊娠合并21-羟化酶缺乏症	O99.201	{"dummy_term": ["妊娠", "合", "并", "21", "-", "羟化酶", "缺乏症"]}
胆总管结石伴急性胆管炎	K80.304	{"1_region_term": ["胆总管"], "dummy_term": ["伴", "急性", "胆管炎"], "3_disease_term": ["结石"]}
涉及髂胫带弹响膝	M76.302	{"1_region_term": ["膝"], "dummy_term": ["涉及", "髂", "胫", "带", "弹", "响"]}
迷走神经麻痹	G52.203	{"1_region_term": ["迷走神经"], "dummy_term": ["麻痹"]}
妊娠合并结缔组织疾病	O99.805	{"dummy_term": ["妊娠", "合", "并", "结缔组织", "疾病"]}
牙周脓肿	K05.201	{"dummy_term": ["牙周脓肿"]}
系统性结缔组织疾患引起的多神经病	G63.5*	{"dummy_term": ["系统性", "结缔组织", "疾患", "引起", "的", "多", "神经病"]}
慢性缺血性心脏病	I25.900	{"dummy_term": ["慢性", "缺血性", "心脏病"]}
单卵双胎活产	Z37.201	{"dummy_term": ["卵", "双胎", "活产"], "5_others_term": ["单"]}
结节性痤疮	L70.002	{"dummy_term": ["结节性", "痤疮"]}
脑脓肿	G06.001	{"1_region_term": ["脑"], "3_disease_term": ["脓肿"]}
泪小管裂伤	S05.810	{"1_region_term": ["泪小管"], "3_disease_term": ["裂伤"]}
消瘦性夸希奥科病	E42.x00	{"dummy_term": ["消瘦", "性", "夸", "希", "奥", "科", "病"]}
开放性前臂特指部位骨折	S52.810	{"1_region_term": ["前臂"], "dummy_term": ["特指", "部位"], "3_disease_term": ["开放性", "骨折"]}
播散性孢子丝菌病	B42.700	{"dummy_term": ["播散", "性", "孢子", "丝", "菌", "病"]}
未特指的口恶性肿瘤	C06.9	{"dummy_term": ["未", "特指", "的", "口", "恶性肿瘤"]}
双相情感障碍,目前为轻躁狂发作	F31.0	{"dummy_term": ["双相", "情感", "障碍", "目前", "为", "轻", "躁狂", "发作"]}
慢性尿道炎	N34.205	{"dummy_term": ["慢性", "尿道炎"]}
其他醛固酮过多症	E26.8	{"dummy_term": ["其他", "醛固酮", "过", "多", "症"]}
手骨折	S62.801	{"dummy_term": ["手骨", "折"]}
痛可宁中毒	T39.801	{"dummy_term": ["痛", "可", "宁", "中毒"]}
β型地中海贫血	D56.100	{"dummy_term": ["β", "型", "地中海", "贫血"]}
肿瘤免疫治疗	Z51.810	{"dummy_term": ["肿瘤"], "2_operation_term": ["免疫治疗"]}
妊娠合并癫痫	O99.306	{"dummy_term": ["妊娠", "合", "并", "癫痫"]}
泌尿装置的安装和调整	Z46.600	{"dummy_term": ["泌尿", "装置", "的", "和", "调整"], "2_operation_term": ["安装"]}
节旁体良性肿瘤	D35.601	{"dummy_term": ["节", "旁", "体", "良性肿瘤"]}
妊娠合并甲状腺机能障碍	O99.217	{"1_region_term": ["甲状腺"], "dummy_term": ["妊娠", "合", "并", "机能", "障碍"]}
短暂性中暑疲劳	T67.600	{"dummy_term": ["短暂性", "中暑", "疲劳"]}
慢性阻塞性肺病	J44.900	{"dummy_term": ["慢性", "阻塞性", "肺病"]}
妊娠合并全血细胞减少	O99.002	{"dummy_term": ["妊娠", "合", "并", "全", "血细胞", "减少"]}
使用阿片类物质引起的精神和行为障碍	F11.900	{"dummy_term": ["使用", "阿片类", "物质", "引起", "的", "精神", "和", "行为障碍"]}
肠系膜动脉炎	K55.801	{"1_region_term": ["肠系膜动脉"], "dummy_term": ["炎"]}
乳突炎和有关情况	H70	{"dummy_term": ["乳突炎", "和", "有关", "情况"]}
额叶继发恶性肿瘤	C79.303	{"1_region_term": ["额叶"], "dummy_term": ["继发", "恶性肿瘤"]}
皮肤型过敏性紫癜	D69.001	{"1_region_term": ["皮肤"], "dummy_term": ["型", "过敏性", "紫癜"]}
陈旧性膝外侧半月板后脚损伤	M23.209	{"1_region_term": ["膝", "外侧半月板"], "dummy_term": ["陈旧性", "后脚"], "3_disease_term": ["损伤"]}
乳齿过早脱落	K00.605	{"dummy_term": ["乳齿", "过早", "脱落"]}
人类免疫缺陷病毒[HIV]病造成的其他特指的情况	B23.800	{"dummy_term": ["人类", "免疫", "缺陷", "病毒", "[", "HIV", "]", "病", "造成", "的", "其他", "特指", "的", "情况"]}
大脑中动脉出血	I61.901	{"1_region_term": ["大脑中动脉"], "dummy_term": ["出", "血"]}
脊柱内固定物排斥	T84.804	{"1_region_term": ["脊柱"], "dummy_term": ["内", "排斥"], "4_implant_term": ["固定物"]}
高直后位难产	O64.801	{"dummy_term": ["高", "直", "后", "位", "难产"]}
咽后壁恶性肿瘤	C14.003	{"1_region_term": ["咽后壁"], "dummy_term": ["恶性肿瘤"]}
混合的镇静剂和催眠药的有害效应，不可归类在他处者	Y47.500	{"dummy_term": ["混合", "的", "镇静剂", "和", "催眠药", "的", "有害", "效应", ",", "不可", "归类", "在", "他", "处", "者"]}
男性生殖器官良性肿瘤	D29.900	{"dummy_term": ["生殖器官", "良性肿瘤"], "5_others_term": ["男性"]}
新生儿钾平衡失调	P74.300	{"dummy_term": ["新生儿", "钾", "平衡", "失调"]}
视乳头肿物	H47.304	{"1_region_term": ["乳头"], "dummy_term": ["视", "肿物"]}
新生儿低凝血酶原血症	P61.601	{"dummy_term": ["新生儿", "低", "凝血酶原", "血症"]}
眼和附器的其他疾患	H57	{"1_region_term": ["眼"], "dummy_term": ["和", "附", "器", "的", "其他", "疾患"]}
开放性骨盆骨折	S32.812	{"1_region_term": ["骨盆"], "3_disease_term": ["开放性", "骨折"]}
童年孤独症	F84.000	{"dummy_term": ["童年", "孤独症"]}
小分裂细胞(弥漫性)非霍奇金淋巴瘤	C83.1	{"dummy_term": ["分裂细胞", "(", "弥漫性", ")", "非", "霍奇金", "淋巴瘤"], "5_others_term": ["小"]}
幼白红细胞贫血	D64.803	{"dummy_term": ["幼", "白", "红细胞", "贫血"]}
血管炎	I77.603	{"dummy_term": ["血管炎"]}
慢性粒细胞性白血病，急淋变	C91.004	{"dummy_term": ["慢性", "粒细胞", "性", "白血病", ",", "急", "淋", "变"]}
其他听觉丧失	H91	{"dummy_term": ["其他", "听觉", "丧失"]}
胸腔良性肿瘤	D36.706	{"1_region_term": ["胸腔"], "dummy_term": ["良性肿瘤"]}
先天性畸形综合征，其他特指的不可归类在他处者	Q87.800	{"dummy_term": ["先天性", "综合征", ",", "其他", "特指", "的", "不可", "归类", "在", "他", "处", "者"], "3_disease_term": ["畸形"]}
腰椎和骨盆脱位	S33.301	{"1_region_term": ["腰椎", "骨盆"], "dummy_term": ["和"], "3_disease_term": ["脱位"]}
流产、异位妊娠和葡萄胎妊娠后的休克	O08.300	{"dummy_term": ["流产", ",", "妊娠", "和", "葡萄胎", "妊娠", "后", "的", "休克"], "3_disease_term": ["异位"]}
轻型鼠疫	A20.803	{"dummy_term": ["轻型", "鼠疫"]}
肺泡蛋白沉积症	J84.001	{"dummy_term": ["肺泡", "蛋白", "沉积", "症"]}
真菌性上颌窦炎	B49.x09	{"1_region_term": ["上颌窦"], "dummy_term": ["真菌性", "炎"]}
未特指的心脏病	I51.9	{"dummy_term": ["未", "特指", "的", "心脏病"]}
颏下恶性肿瘤	C76.006	{"1_region_term": ["颏下"], "dummy_term": ["恶性肿瘤"]}
眶周围神经良性肿瘤	D31.603	{"1_region_term": ["眶", "周围神经"], "dummy_term": ["良性肿瘤"]}
结缔组织系统性受累	M35.9	{"dummy_term": ["结缔组织", "系统性", "受累"]}
幼年型骨骺炎	M92.901	{"1_region_term": ["骨骺"], "dummy_term": ["幼年", "型", "炎"]}
手术后胃瘫综合征	K91.830	{"1_region_term": ["胃"], "dummy_term": ["瘫", "综合征"], "5_others_term": ["手术后"]}
在前臂水平的肌肉和肌腱损伤	S56	{"1_region_term": ["前臂", "肌肉", "肌腱"], "dummy_term": ["在", "水平", "的", "和"], "3_disease_term": ["损伤"]}
三叉神经疾患	G50.900	{"1_region_term": ["三叉神经"], "dummy_term": ["疾患"]}
下肢(包括髋)周围神经恶性肿瘤	C47.200	{"1_region_term": ["下肢", "髋", "周围神经"], "dummy_term": ["(", "包括", ")", "恶性肿瘤"]}
上肢局部肿物	R22.301	{"1_region_term": ["上肢"], "dummy_term": ["局部", "肿物"]}
在未特指的手术和医疗中无菌预防措施的失败	Y62.9	{"dummy_term": ["在", "未", "特指", "的", "和", "医疗", "无菌", "预防措施", "的", "失败"], "2_operation_term": ["手术"], "5_others_term": ["中"]}
社交恐怖	F40.100	{"dummy_term": ["社交", "恐怖"]}
男性生殖器官炎性疾患,不可归类在他处者	N49	{"dummy_term": ["生殖器官", "炎", "性", "疾患", "不可", "归类", "在", "他", "处", "者"], "5_others_term": ["男性"]}
颈部开放性伤口累及喉和气管	S11.000	{"1_region_term": ["颈部", "喉", "气管"], "dummy_term": ["累及", "和"], "3_disease_term": ["开放性", "伤口"]}
膝挤压伤	S87.000	{"1_region_term": ["膝"], "dummy_term": ["挤压", "伤"]}
骶髂关节扭伤和劳损	S33.600	{"1_region_term": ["骶髂关节"], "dummy_term": ["扭伤", "和", "劳损"]}
咽旁间隙囊肿	J39.221	{"1_region_term": ["咽旁间隙"], "3_disease_term": ["囊肿"]}
十二指肠损伤	S36.405	{"1_region_term": ["十二指肠"], "3_disease_term": ["损伤"]}
与人工授精有关的并发症	N98	{"dummy_term": ["与", "有关", "的", "并发症"], "2_operation_term": ["人工授精"]}
未特指的间皮瘤	C45.9	{"dummy_term": ["未", "特指", "的", "间皮瘤"]}
医疗性流产并发阴道壁血肿	O04.802	{"1_region_term": ["阴道"], "dummy_term": ["医疗", "性", "流产", "并发", "壁"], "3_disease_term": ["血肿"]}
开放性肾上腺损伤	S37.813	{"1_region_term": ["肾上腺"], "3_disease_term": ["开放性", "损伤"]}
单侧或未特指股疝,伴有梗阻,不伴有坏疽	K41.3	{"dummy_term": ["或", "未", "特指", "股", "伴有", "不", "伴有", "坏疽"], "5_others_term": ["单侧"], "3_disease_term": ["疝", "梗阻"]}
陈旧性盆腔器官损伤	T91.502	{"1_region_term": ["盆腔"], "dummy_term": ["陈旧性", "器官"], "3_disease_term": ["损伤"]}
迪亚兹软骨病	M92.603	{"dummy_term": ["迪亚兹", "软骨病"]}
起源于围生期的某些情况个人史	Z87.600	{"dummy_term": ["起源于", "围", "生", "期", "的", "某些", "情况", "个人", "史"]}
化脓性关节炎	M00.900	{"dummy_term": ["化脓性", "关节炎"]}
胎盘畸形	O43.100	{"1_region_term": ["胎盘"], "3_disease_term": ["畸形"]}
梅格斯综合征	D27.x01	{"dummy_term": ["梅", "格斯", "综合征"]}
阴道前后壁脱垂	N81.802	{"1_region_term": ["阴道前后壁"], "3_disease_term": ["脱垂"]}
双上肢[任何水平]后天性缺失	Z89.300	{"1_region_term": ["上肢"], "dummy_term": ["[", "任何", "水平", "]", "后天性", "缺失"], "5_others_term": ["双"]}
其他斜视	H50	{"dummy_term": ["其他", "斜视"]}
植入装置的调整和管理 	Z45.900	{"dummy_term": ["装置", "的", "调整", "和", "管理"], "2_operation_term": ["植入"]}
坏疽性肺炎	J85.002	{"dummy_term": ["坏疽", "性肺炎"]}
喉肿物	J38.708	{"1_region_term": ["喉"], "dummy_term": ["肿物"]}
肱骨内髁骨折	S42.404	{"1_region_term": ["肱骨内"], "dummy_term": ["髁"], "3_disease_term": ["骨折"]}
其他特指的脑神经疾患	G52.8	{"1_region_term": ["脑神经"], "dummy_term": ["其他", "特指", "的", "疾患"]}
脊髓结核	A17.806†G07*	{"1_region_term": ["脊髓"], "dummy_term": ["结核"]}
手术后皮下气肿	T81.809	{"1_region_term": ["皮下"], "dummy_term": ["气肿"], "5_others_term": ["手术后"]}
未特指的土拉菌病	A21.9	{"dummy_term": ["未", "特指", "的", "土", "拉", "菌", "病"]}
妊娠合并低体重儿	O36.501	{"dummy_term": ["妊娠", "合", "并", "低", "体重儿"]}
甲状腺功能减退性心脏病	E03.903†I43.8*	{"1_region_term": ["甲状腺"], "dummy_term": ["功能", "减退", "性", "心脏病"]}
分类于他处的其他疾病引起的肌无力综合征	G73.3*	{"dummy_term": ["分类", "于", "他", "处", "的", "其他", "疾病", "引起", "的", "肌无力", "综合征"]}
肩和上肢三度腐蚀伤，除外腕和手	T22.700	{"1_region_term": ["肩", "上肢", "腕", "手"], "dummy_term": ["和", "三度", "腐蚀", "伤", ",", "除外", "和"]}
非阿片样镇痛药、解热药和抗风湿药的故意自毒及暴露于该类药物	X60.x00	{"dummy_term": ["非", "阿片", "样", "镇痛药", ",", "解热", "药", "和", "抗风湿", "药", "的", "故意", "自", "毒", "及", "暴露", "于", "该", "类药物"]}
自发性寰枢椎半脱位	M24.302	{"dummy_term": ["自发性", "寰", "枢", "椎"], "3_disease_term": ["半脱位"]}
前列腺炎性疾病,其他的	N41.800	{"dummy_term": ["前列腺炎", "性疾病", "其他", "的"]}
换气过度综合征	F45.302	{"dummy_term": ["换气", "过度", "综合征"]}
心脏瓣膜假体引起的感染和炎症性反应	T82.600	{"1_region_term": ["心脏"], "dummy_term": ["引起", "的", "感染", "和", "炎症性", "反应"], "5_others_term": ["瓣膜"], "4_implant_term": ["假体"]}
其他的特发性脊柱侧弯	M41.2	{"1_region_term": ["脊柱"], "dummy_term": ["其他", "的", "特发性", "侧弯"]}
肌肉骨骼系统和结缔组织的其他后天性变形	M95	{"1_region_term": ["肌肉"], "dummy_term": ["骨骼", "系统", "和", "结缔组织", "的", "其他", "后天性", "变形"]}
未特指的进食障碍	F50.9	{"dummy_term": ["未", "特指", "的", "进食", "障碍"]}
酒精性肝病	K70.900	{"dummy_term": ["肝病"], "5_others_term": ["酒精性"]}
胎儿腹腔囊肿	O35.806	{"1_region_term": ["腹腔"], "5_others_term": ["胎儿"], "3_disease_term": ["囊肿"]}
肾上腺炎	E27.804	{"1_region_term": ["肾上腺"], "dummy_term": ["炎"]}
贲门梗阻	K22.201	{"1_region_term": ["贲门"], "3_disease_term": ["梗阻"]}
甲肥厚	L60.201	{"1_region_term": ["甲"], "dummy_term": ["肥厚"]}
男性型多毛症	L68.000	{"dummy_term": ["型", "多毛", "症"], "5_others_term": ["男性"]}
巨细胞病毒性脑炎	B25.801†G05.1*	{"dummy_term": ["巨细胞"], "3_disease_term": ["病毒性脑炎"]}
其他癫痫	G40.8	{"dummy_term": ["其他", "癫痫"]}
胸段背痛	M54.600	{"1_region_term": ["胸"], "dummy_term": ["段", "背痛"]}
肾盂引流管阻塞	T83.001	{"1_region_term": ["肾盂"], "dummy_term": ["阻塞"], "4_implant_term": ["引流管"]}
慢性淋巴结炎，除外肠系膜	I88.100	{"1_region_term": ["肠系膜"], "dummy_term": ["慢性", "淋巴结炎", ",", "除外"]}
共同性斜视	H50.405	{"dummy_term": ["共同性", "斜视"]}
消化器官和腹腔标本的异常所见,其他异常所见	R85.8	{"1_region_term": ["腹腔"], "dummy_term": ["消化器官", "和", "标本", "的", "异常", "所", "见", "其他", "异常", "所", "见"]}
下肢结缔组织动态未定肿瘤	D48.133	{"1_region_term": ["下肢"], "dummy_term": ["结缔组织", "动态", "未定", "肿瘤"]}
未特指的急性鼻窦炎	J01.9	{"dummy_term": ["未", "特指", "的", "急性", "鼻窦炎"]}
未特指的轻型货车或篷车乘员在在轻型货车或篷车与固定或静止物体碰撞交通事故中的损伤	V57.9	{"dummy_term": ["未", "特指", "的", "轻型", "货车", "或", "篷车", "乘员", "在", "在", "轻型", "货车", "或", "篷车", "与", "或", "静止", "物体", "碰撞", "交通事故", "的"], "2_operation_term": ["固定"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
人类免疫缺陷病毒[HlV]病造成的其他特指的情况	B23.8	{"dummy_term": ["人类", "免疫", "缺陷", "病毒", "[", "HlV", "]", "病", "造成", "的", "其他", "特指", "的", "情况"]}
结膜溶解	H11.808	{"1_region_term": ["结膜"], "dummy_term": ["溶解"]}
产程和分娩并发脐带并发症	O69.900	{"dummy_term": ["产程", "和", "分娩", "并发", "脐带", "并发症"]}
妊娠伴原发性高血压并发蛋白尿	O11.x01	{"dummy_term": ["妊娠", "伴", "原发性", "高血压", "并发", "蛋白尿"]}
纵隔结核，病理（+）	A15.814	{"1_region_term": ["纵隔"], "dummy_term": ["结核", ",", "病理", "(", "+", ")"]}
结节性肝硬化	K74.610	{"dummy_term": ["结节性", "肝硬化"]}
创伤后关节病	M19.101	{"dummy_term": ["创伤", "后", "关节病"]}
膈结缔组织恶性肿瘤	C49.302	{"1_region_term": ["膈"], "dummy_term": ["结缔组织", "恶性肿瘤"]}
妊娠合并阑尾炎	O99.611	{"dummy_term": ["妊娠", "合", "并", "阑尾炎"]}
鱼和水生贝壳类动物中毒，其他的	T61.200	{"dummy_term": ["鱼", "和", "水生", "贝壳类", "动物", "中毒", ",", "其他", "的"]}
胃体恶性肿瘤	C16.200	{"1_region_term": ["胃"], "dummy_term": ["体", "恶性肿瘤"]}
躯干周围神经肿瘤	D48.208	{"1_region_term": ["躯干", "周围神经"], "dummy_term": ["肿瘤"]}
其他皮炎	L30	{"dummy_term": ["其他", "皮炎"]}
药物性角膜结膜炎	H16.801	{"1_region_term": ["角膜"], "dummy_term": ["结膜炎"], "5_others_term": ["药物性"]}
环杓关节脱位	S13.202	{"1_region_term": ["环杓关节"], "3_disease_term": ["脱位"]}
为抗流感采取必要的免疫	Z25.100	{"dummy_term": ["为", "抗", "流感", "采取", "必要", "的", "免疫"]}
其他情况化学治疗后的随诊检查	Z09.2	{"dummy_term": ["其他", "情况", "化学治疗", "后", "的", "随", "诊"], "2_operation_term": ["检查"]}
直肠乙状结肠炎	K63.817	{"1_region_term": ["直肠乙状结肠"], "dummy_term": ["炎"]}
急性放射性皮炎	L58.000	{"dummy_term": ["急性", "放射性", "皮炎"]}
踝关节滑膜钙化	M71.407	{"1_region_term": ["踝关节", "滑膜"], "dummy_term": ["钙化"]}
未特指的多囊肾	Q61.3	{"dummy_term": ["未", "特指", "的", "多囊肾"]}
极度肥胖伴低通气综合征	E66.201	{"dummy_term": ["极度", "肥胖", "伴", "低", "通气", "综合征"]}
创伤性掌关节韧带破裂	S63.401	{"1_region_term": ["掌", "关节", "韧带"], "dummy_term": ["创伤性"], "3_disease_term": ["破裂"]}
视神经结核	A18.503†H48.8*	{"1_region_term": ["视神经"], "dummy_term": ["结核"]}
灰泥角化症	L57.001	{"dummy_term": ["灰泥", "角化", "症"]}
阔韧带血肿	N83.700	{"1_region_term": ["阔韧带"], "3_disease_term": ["血肿"]}
恶性肿瘤其他治疗后的随诊检查	Z08.800	{"dummy_term": ["恶性肿瘤", "其他", "后", "的", "随", "诊"], "2_operation_term": ["治疗", "检查"]}
麻疹伴有肠道并发症..	B05.4	{"dummy_term": ["麻疹", "伴有", "肠道", "并发症"]}
其他医疗照顾	Z51	{"dummy_term": ["其他", "医疗", "照顾"]}
胆管穿孔	K83.200	{"1_region_term": ["胆管"], "3_disease_term": ["穿孔"]}
松果体动态未定或动态未知的肿瘤	D44.500	{"1_region_term": ["松果体"], "dummy_term": ["动态", "未定", "或", "动态", "未知", "的", "肿瘤"]}
